TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY
Abies amabilis,Abies amabilis,2,Y,N,,Y,G5,N5,,26,16,10,25,15,10,Fir,Abies,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Abies balsamea,Abies balsamea,2,Y,Y,,Y,G5,N5,,239,96,143,181,41,140,Fir,Abies,NA,NA,needles,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Abies grandis,Abies grandis,2,Y,N,,Y,G5,N5,,24,10,14,15,2,13,Fir,Abies,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Abies lasiocarpa,Abies lasiocarpa,2,Y,N,,Y,G5,NNR,,32,19,13,18,8,10,Fir,Abies,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Acer circinatum,Acer circinatum,1,Y,N,,Y,G5,N5,,45,40,5,9,9,0,Sugar Maple,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer glabrum,Acer glabrum,1,Y,Y,Y,N,G5,N5,,23,13,10,9,8,1,Sugar Maple,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer glabrum var. douglasii,Acer glabrum,1,Y,Y,Y,Y,T5,N5,,23,13,10,9,8,1,Sugar Maple,Acer,var.,douglasii,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer macrophyllum,Acer macrophyllum,1,Y,Y,,Y,G5,N5,,13,2,11,0,0,0,Sugar Maple,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer negundo,Acer negundo,1,Y,Y,Y,N,G5,N5,,25,5,20,9,1,8,Sugar Maple,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer negundo var. negundo,Acer negundo,1,Y,Y,Y,Y,T5,NNR,,25,5,20,9,1,8,Sugar Maple,Acer,var.,negundo,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer pensylvanicum,Acer pensylvanicum,1,Y,Y,,Y,G5,N5,,81,43,38,39,12,27,Sugar Maple,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer rubrum,Acer rubrum,1,Y,Y,N,N,G5,N5,,468,240,228,265,62,203,Sugar Maple,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer rubrum var. rubrum,Acer rubrum,1,Y,Y,N,Y,T5,NU,,468,240,228,NA,NA,NA,Sugar Maple,Acer,var.,rubrum,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer rubrum var. trilobum,Acer rubrum,1,Y,Y,N,Y,T5,NU,,468,240,228,NA,NA,NA,Sugar Maple,Acer,var.,trilobum,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer saccharinum,Acer saccharinum,1,Y,Y,,Y,G5,N5,,126,125,1,85,85,0,Sugar Maple,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Acer saccharum,Acer saccharum,1,Y,Y,,Y,G5,N5,,110,65,45,46,4,42,Sugar Maple,Acer,NA,NA,sugar maple',Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Progenitor,1A
Acer spicatum,Acer spicatum,1,Y,Y,,Y,G5,N5,,96,37,59,65,15,50,Sugar Maple,Acer,NA,NA,,Y,Food,Forest Resources,NA,Sugars,Forest Resources,,NA,Assume distant,1C
Achillea millefolium,Achillea millefolium,NA,N,Y,,Y,T5,NNA,,175,28,147,4,0,4,Yarrow,Achillea,NA,NA,medicinal properties,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Acmispon americanus,Acmispon americanus,2,Y,N,Y,N,G5,N4,,0,0,0,0,0,0,Trefoil,Acmispon,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Acmispon americanus var. americanus,Acmispon americanus,2,Y,N,Y,Y,T5,N4,,0,0,0,0,0,0,Trefoil,Acmispon,var.,americanus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Acmispon denticulatus,Acmispon denticulatus,2,Y,N,,Y,G5,N4,,1,0,1,0,0,0,Trefoil,Acmispon,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Acmispon parviflorus,Acmispon parviflorus,2,Y,N,,Y,G5,N4,,0,0,0,0,0,0,Trefoil,Acmispon,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Agastache foeniculum,Agastache foeniculum,NA,N,Y,,Y,G5,N5,,45,15,30,4,0,4,Hyssop,Agastache,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Agastache nepetoides,Agastache nepetoides,NA,N,Y,,Y,G5,N4,,17,4,13,2,1,1,Hyssop,Agastache,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Agastache urticifolia,Agastache urticifolia,NA,N,Y,,Y,G5,N4,,42,1,41,0,0,0,Hyssop,Agastache,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Agrostis exarata,Agrostis exarata,2,Y,N,,Y,G5,N5,,3,0,3,1,0,1,Bentgrass,Agrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Agrostis hyemalis,Agrostis hyemalis,2,Y,N,,Y,G5,N1,,0,0,0,0,0,0,Bentgrass,Agrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Agrostis mertensii,Agrostis mertensii,2,Y,N,,Y,G5,N5,,5,0,5,2,0,2,Bentgrass,Agrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Agrostis perennans,Agrostis perennans,2,Y,N,,Y,G5,N5,,3,0,3,2,0,2,Bentgrass,Agrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Agrostis scabra,Agrostis scabra,2,Y,N,,Y,G5,NNR,,15,0,15,3,0,3,Bentgrass,Agrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Allium acuminatum,Allium acuminatum,1,Y,Y,,Y,G5,N5,,31,2,29,1,1,0,"Onions, Garlic, Leeks",Allium,NA,NA,Hooker's onion; blubs,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium amplectens,Allium amplectens,1,Y,Y,,Y,G4,N3,,7,1,6,1,1,0,"Onions, Garlic, Leeks",Allium,NA,NA,slim leaf onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium canadense,Allium canadense,1,Y,Y,Y,N,G5,N5,,4,2,2,2,2,0,"Onions, Garlic, Leeks",Allium,NA,NA,Canada onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium canadense var. canadense,Allium canadense,1,Y,Y,Y,Y,T5,N5,,4,2,2,2,2,0,"Onions, Garlic, Leeks",Allium,var.,canadense,Canada onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium cernuum,Allium cernuum,1,Y,Y,,Y,G5,NNR,,45,25,20,3,3,0,"Onions, Garlic, Leeks",Allium,NA,NA,nodding onion; bulbs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium crenulatum,Allium crenulatum,1,Y,Y,,Y,G4,N4,,1,1,0,0,0,0,"Onions, Garlic, Leeks",Allium,NA,NA,Olympic onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Allium geyeri,Allium geyeri,1,Y,Y,Y,N,G4,N4,,7,1,6,0,0,0,"Onions, Garlic, Leeks",Allium,NA,NA,Geyer's onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
